country,institution,snapshot_month,credits_in_snapshot,cumulative_disbursed_usd,cumulative_repaid_usd,monthly_disbursement_usd,monthly_net_flow_usd,note
Jamaica,IBRD,2011-04,83,1880211112,1312107677,,,
Jamaica,IBRD,2011-05,83,1881211112,1312107677,1000000,1000000,
Jamaica,IBRD,2011-06,83,1888529190,1312107677,7318078,7318078,
Jamaica,IBRD,2011-07,83,1888529190,1314329270,0,-2221593,
Jamaica,IBRD,2011-08,83,1888566690,1327149489,37500,-12782719,
Jamaica,IBRD,2011-09,84,1890566690,1330276989,2000000,-1127500,
Jamaica,IBRD,2011-10,84,1997838659,1330276989,107271969,107271969,
Jamaica,IBRD,2011-11,84,1997838659,1330276989,0,0,
Jamaica,IBRD,2011-12,84,2000621410,1330276989,2782751,2782751,
Jamaica,IBRD,2012-01,84,2000621410,1331945198,0,-1668209,
Jamaica,IBRD,2012-02,84,2005180110,1344765417,4558700,-8261519,
Jamaica,IBRD,2012-03,84,2005380787,1347892917,200677,-2926823,
Jamaica,IBRD,2012-04,84,2008502476,1347892917,3121689,3121689,
Jamaica,IBRD,2012-05,84,2012002476,1347892917,3500000,3500000,
Jamaica,IBRD,2012-06,84,2018472407,1347892917,6469931,6469931,
Jamaica,IBRD,2012-07,84,2021245512,1349561126,2773105,1104896,
Jamaica,IBRD,2012-08,84,2022083123,1362381345,837611,-11982608,
Jamaica,IBRD,2012-09,84,2022982087,1365508845,898964,-2228536,
Jamaica,IBRD,2012-10,84,2026279185,1365508845,3297098,3297098,
Jamaica,IBRD,2012-11,54,930095985,928519121,,,"snapshot incomplete, level not usable"
Jamaica,IBRD,2012-12,84,2026279185,1365508845,0,0,difference spans 2 months because the snapshot(s) between are unusable
Jamaica,IBRD,2013-01,84,2028558146,1367177054,2278961,610752,
Jamaica,IBRD,2013-02,84,2029458146,1379997273,900000,-11920219,
Jamaica,IBRD,2013-03,84,2031048967,1383124773,1590821,-1536679,
Jamaica,IBRD,2013-04,84,2034664500,1383538278,3615533,3202028,
Jamaica,IBRD,2013-05,84,2034664500,1383538278,0,0,
Jamaica,IBRD,2013-06,84,2038946672,1383538278,4282172,4282172,
Jamaica,IBRD,2013-07,84,2038946672,1385206486,0,-1668208,
Jamaica,IBRD,2013-08,84,2041761415,1397890447,2814743,-9869218,
Jamaica,IBRD,2013-09,84,2047889940,1401017947,6128525,3001025,
Jamaica,IBRD,2013-10,84,2050463232,1402563765,2573292,1027474,
Jamaica,IBRD,2013-11,84,2051704196,1402563765,1240964,1240964,
Jamaica,IBRD,2013-12,85,2183264352,1402563765,131560156,131560156,
Jamaica,IBRD,2014-01,86,2183477958,1404231974,213606,-1454603,
Jamaica,IBRD,2014-02,87,2183477958,1415909593,0,-11677619,
Jamaica,IBRD,2014-03,88,2184277958,1419037093,800000,-2327500,
Jamaica,IBRD,2014-04,88,2184277958,1420738559,0,-1701466,
Jamaica,IBRD,2014-05,88,2184277958,1420738559,0,0,
Jamaica,IBRD,2014-06,88,2184407958,1420738559,130000,130000,
Jamaica,IBRD,2014-07,91,2185876648,1422406768,1468690,-199519,
Jamaica,IBRD,2014-08,91,2185981648,1434084387,105000,-11572619,
Jamaica,IBRD,2014-09,91,2188545930,1437211887,2564282,-563218,
Jamaica,IBRD,2014-10,91,2194112154,1438913354,5566224,3864757,
Jamaica,IBRD,2014-11,91,2194112154,1438913354,0,0,
Jamaica,IBRD,2014-12,182,4388607072,2877826708,,,"snapshot duplicated, level not usable"
Jamaica,IBRD,2015-01,91,2195272818,1440581563,1160664,-507545,difference spans 2 months because the snapshot(s) between are unusable
Jamaica,IBRD,2015-02,91,2198423611,1452259182,3150793,-8526826,
Jamaica,IBRD,2015-03,92,2280922713,1455386682,82499102,79371602,
Jamaica,IBRD,2015-04,92,2281825472,1457087686,902759,-798245,
Jamaica,IBRD,2015-05,92,2286747933,1457087686,4922461,4922461,
Jamaica,IBRD,2015-06,92,2296626011,1457087686,9878078,9878078,
Jamaica,IBRD,2015-07,184,4595482232,2917511790,,,"snapshot duplicated, level not usable"
Jamaica,IBRD,2015-08,92,2297805485,1470612686,1179474,-12345526,difference spans 2 months because the snapshot(s) between are unusable
Jamaica,IBRD,2015-09,92,2299297726,1473740186,1492241,-1635259,
Jamaica,IBRD,2015-10,92,2302785689,1479528915,3487963,-2300766,
Jamaica,IBRD,2015-11,92,2305121984,1479528915,2336295,2336295,
Jamaica,IBRD,2015-12,92,2306640427,1479528915,1518443,1518443,
Jamaica,IBRD,2016-01,92,2306640427,1481197124,0,-1668209,
Jamaica,IBRD,2016-02,93,2311719670,1493068525,5079243,-6792158,
Jamaica,IBRD,2016-03,93,2315500666,1496196025,3780996,653496,
Jamaica,IBRD,2016-04,93,2315500666,1501984753,0,-5788728,
Jamaica,IBRD,2016-05,93,2318330656,1502045205,2829990,2769538,
Jamaica,IBRD,2016-06,93,2320687936,1502045205,2357280,2357280,
Jamaica,IBRD,2016-07,93,2320687936,1503713414,0,-1668209,
Jamaica,IBRD,2016-08,93,2327799890,1515627726,7111954,-4802358,
Jamaica,IBRD,2016-09,93,2330035638,1518755226,2235748,-891752,
Jamaica,IBRD,2016-10,93,2330035638,1524818307,0,-6063081,
Jamaica,IBRD,2016-11,93,2332700663,1524902559,2665025,2580773,
Jamaica,IBRD,2016-12,93,2335552685,1524902559,2852022,2852022,
Jamaica,IBRD,2017-01,93,2335712685,1526570768,160000,-1508209,
Jamaica,IBRD,2017-02,93,2336351702,1538535231,639017,-11325446,
Jamaica,IBRD,2017-03,93,2342446306,1541662731,6094604,2967104,
Jamaica,IBRD,2017-04,93,2342556790,1547725812,110484,-5952597,
Jamaica,IBRD,2017-05,93,2351779869,1547810064,9223079,9138827,
Jamaica,IBRD,2017-06,94,2352043612,1547810064,263743,263743,
Jamaica,IBRD,2017-07,94,2425523993,1549478273,73480381,71812172,
Jamaica,IBRD,2017-08,94,2425523993,1561466965,0,-11988692,
Jamaica,IBRD,2017-09,94,2426834479,1564534465,1310486,-1757014,
Jamaica,IBRD,2017-10,94,2433095110,1570602810,6260631,192286,
Jamaica,IBRD,2017-11,94,2434604033,1570720988,1508923,1390745,
Jamaica,IBRD,2017-12,94,2434336388,1570720988,-267645,-267645,
Jamaica,IBRD,2018-01,95,2436708439,1572389197,2372051,703842,
Jamaica,IBRD,2018-02,95,2438965963,1584371810,2257524,-9725089,
Jamaica,IBRD,2018-03,95,2446674458,1584371810,7708495,7708495,
Jamaica,IBRD,2018-04,95,2458000526,1590464661,11326068,5233217,
Jamaica,IBRD,2018-05,95,2458040090,1590666139,39564,-161914,
Jamaica,IBRD,2018-06,95,2462514910,1590666139,4474820,4474820,
Jamaica,IBRD,2018-07,95,2464514910,1592334348,2000000,331791,
Jamaica,IBRD,2018-08,95,2466489795,1604256961,1974885,-9947728,
Jamaica,IBRD,2018-09,95,2466702130,1604256961,212335,212335,
Jamaica,IBRD,2018-10,95,2469202130,1610342167,2500000,-3585206,
Jamaica,IBRD,2018-11,95,2471877130,1610567445,2675000,2449722,
Jamaica,IBRD,2018-12,95,2476859759,1610567445,4982629,4982629,
Jamaica,IBRD,2019-01,95,2480406865,1612227115,3547106,1887436,
Jamaica,IBRD,2019-02,95,2481946216,1617324167,1539351,-3557701,
Jamaica,IBRD,2019-03,95,2482688262,1617324167,742046,742046,
Jamaica,IBRD,2019-04,95,2489455688,1623409374,6767426,682219,
Jamaica,IBRD,2019-05,95,2504066538,1623685635,14610850,14334589,
Jamaica,IBRD,2019-06,95,2505566538,1623685635,1500000,1500000,
Jamaica,IBRD,2019-07,95,2512566538,1623685635,7000000,7000000,
Jamaica,IBRD,2019-08,95,2513221816,1628321453,655278,-3980540,
Jamaica,IBRD,2019-09,95,2513221816,1628321453,0,0,
Jamaica,IBRD,2019-10,95,2516221816,1634406660,3000000,-3085207,
Jamaica,IBRD,2019-11,96,2521948110,1634701961,5726294,5430993,
Jamaica,IBRD,2019-12,96,2521948110,1634701961,0,0,
Jamaica,IBRD,2020-01,96,2521948110,1634701961,0,0,
Jamaica,IBRD,2020-02,96,2525668110,1640490370,3720000,-2068409,
Jamaica,IBRD,2020-03,97,2596738110,1640490370,71070000,71070000,
Jamaica,IBRD,2020-04,97,2598070058,1646575577,1331948,-4753259,
Jamaica,IBRD,2020-05,97,2604892481,1650772619,6822423,2625381,
Jamaica,IBRD,2020-06,97,2607793417,1650772619,2900936,2900936,
Jamaica,IBRD,2020-07,97,2611019052,1650772619,3225635,3225635,
Jamaica,IBRD,2020-08,97,2611019052,1656746485,0,-5973866,
Jamaica,IBRD,2020-09,97,2611019052,1656746485,0,0,
Jamaica,IBRD,2020-10,97,2613089378,1662831691,2070326,-4014880,
Jamaica,IBRD,2020-11,97,2613089378,1667070819,0,-4239128,
Jamaica,IBRD,2020-12,97,2614047979,1667070819,958601,958601,
Jamaica,IBRD,2021-01,97,2614850516,1667070819,802537,802537,
Jamaica,IBRD,2021-02,98,2616082256,1673162642,1231740,-4860083,
Jamaica,IBRD,2021-03,99,2716970281,1673162642,100888025,100888025,
Jamaica,IBRD,2021-04,99,2774084732,1679247849,57114451,51029244,
Jamaica,IBRD,2021-05,99,2776983930,1694494312,2899198,-12347265,
Jamaica,IBRD,2021-06,99,2778850627,1694494312,1866697,1866697,
Jamaica,IBRD,2021-07,99,2779510202,1694494312,659575,659575,
Jamaica,IBRD,2021-08,99,2779710202,1700696586,200000,-6002274,
Jamaica,IBRD,2021-09,99,2780927706,1701694086,1217504,220004,
Jamaica,IBRD,2021-10,99,2780927706,1707779293,0,-6085207,
Jamaica,IBRD,2021-11,99,2783490701,1723025756,2562995,-12683468,
Jamaica,IBRD,2021-12,99,2786391315,1723025756,2900614,2900614,
Jamaica,IBRD,2022-01,99,2786416315,1723025756,25000,25000,
Jamaica,IBRD,2022-02,99,2786416315,1729355733,0,-6329977,
Jamaica,IBRD,2022-03,99,2786236880,1730353233,-179435,-1176935,
Jamaica,IBRD,2022-04,99,2786810826,1736438440,573946,-5511261,
